command,intent
"kill all running apps","close_all_instances"
"terminate every app","close_all_instances"
"force quit all programs","close_all_instances"
"kill all processes","close_all_instances"
"forcefully close calculator","close_all_instances"
"end the browser now","close_all_instances"
"kill telegram","close_all_instances"
"terminate command prompt","close_all_instances"
"force quit the app","close_all_instances"
"kill vscode","close_all_instances"
"terminate notepad","close_all_instances"
"forcefully close all software","close_all_instances"
"kill all applications","close_all_instances"
"terminate everything","close_all_instances"
"end all apps now","close_all_instances"
"force kill chrome","close_all_instances"
"focus chrome","focus_app"
"bring chrome to front","focus_app"
"switch to chrome","focus_app"
"open chrome window","focus_app"
"show chrome","focus_app"
"bring spotify to front","focus_app"
"switch to spotify","focus_app"
"focus spotify","focus_app"
"bring vscode to front","focus_app"
"switch to vscode","focus_app"
"focus notepad","focus_app"
"bring notepad to front","focus_app"
"switch to notepad","focus_app"
"show vscode window","focus_app"
"focus telegram","focus_app"
"bring telegram to front","focus_app"
"switch to telegram","focus_app"
"focus calculator","focus_app"
"bring calculator to front","focus_app"
"switch to calculator","focus_app"
"focus the browser","focus_app"
"bring the browser to front","focus_app"
"switch to the browser","focus_app"
"focus command prompt","focus_app"
"bring command prompt to front","focus_app"
"switch to command prompt","focus_app"
"minimize chrome","minimize_app"
"shrink chrome window","minimize_app"
"reduce chrome","minimize_app"
"send chrome to background","minimize_app"
"hide chrome","minimize_app"
"minimize spotify","minimize_app"
"shrink spotify window","minimize_app"
"send spotify to background","minimize_app"
"hide spotify","minimize_app"
"minimize vscode","minimize_app"
"shrink vscode window","minimize_app"
"send vscode to background","minimize_app"
"hide vscode","minimize_app"
"minimize notepad","minimize_app"
"shrink notepad window","minimize_app"
"send notepad to background","minimize_app"
"hide notepad","minimize_app"
"minimize calculator","minimize_app"
"shrink calculator window","minimize_app"
"send calculator to background","minimize_app"
"hide calculator","minimize_app"
"minimize telegram","minimize_app"
"shrink telegram window","minimize_app"
"send telegram to background","minimize_app"
"hide telegram","minimize_app"
"maximize chrome","maximize_app"
"expand chrome window","maximize_app"
"make chrome full screen","maximize_app"
"enlarge chrome","maximize_app"
"bring chrome to full screen","maximize_app"
"maximize spotify","maximize_app"
"expand spotify window","maximize_app"
"make spotify full screen","maximize_app"
"bring spotify to full screen","maximize_app"
"maximize vscode","maximize_app"
"expand vscode window","maximize_app"
"make vscode full screen","maximize_app"
"bring vscode to full screen","maximize_app"
"maximize notepad","maximize_app"
"expand notepad window","maximize_app"
"make notepad full screen","maximize_app"
"bring notepad to full screen","maximize_app"
"maximize calculator","maximize_app"
"expand calculator window","maximize_app"
"make calculator full screen","maximize_app"
"bring calculator to full screen","maximize_app"
"maximize telegram","maximize_app"
"expand telegram window","maximize_app"
"make telegram full screen","maximize_app"
"bring telegram to full screen","maximize_app"
